Estructura,Tamaño,Segundos,Bytes
Sufix Array,2000000,1434,16000000
Sufix Array,2000000,1434,16000000
Sufix Array,2000000,1433,16000000
Sufix Array,2000000,1435,16000000
Sufix Array,2000000,1433,16000000
Sufix Array,2000000,1434,16000000
Sufix Array,2000000,1433,16000000
Sufix Array,2000000,1433,16000000
Sufix Array,2000000,1435,16000000
Sufix Array,2000000,1434,16000000
Sufix Array,2000000,1436,16000000
Sufix Array,2000000,1435,16000000
Sufix Array,2000000,1437,16000000
Sufix Array,2000000,1435,16000000
Sufix Array,2000000,1434,16000000
Sufix Array,2000000,1436,16000000
Sufix Array,2000000,1435,16000000
Sufix Array,2000000,1434,16000000
Sufix Array,2000000,1434,16000000
Sufix Array,2000000,1436,16000000
Sufix Array,2000000,1438,16000000
Sufix Array,2000000,1435,16000000
Sufix Array,2000000,1436,16000000
Sufix Array,2000000,1434,16000000
Sufix Array,3000000,2097,24000000
Sufix Array,3000000,2098,24000000
Sufix Array,3000000,2095,24000000
Sufix Array,3000000,2096,24000000
Sufix Array,3000000,2101,24000000
Sufix Array,3000000,2098,24000000
Sufix Array,3000000,2095,24000000
Sufix Array,3000000,2094,24000000
Sufix Array,3000000,2094,24000000
Sufix Array,3000000,2092,24000000
Sufix Array,3000000,2095,24000000
Sufix Array,3000000,2094,24000000
Sufix Array,3000000,2101,24000000
Sufix Array,3000000,2093,24000000
Sufix Array,3000000,2097,24000000
Sufix Array,3000000,2096,24000000
Sufix Array,3000000,2095,24000000
Sufix Array,3000000,2095,24000000
Sufix Array,3000000,2092,24000000
Sufix Array,3000000,2097,24000000
Sufix Array,3000000,2095,24000000
Sufix Array,3000000,2095,24000000
Sufix Array,3000000,2096,24000000
Sufix Array,3000000,2097,24000000
Sufix Array,3000000,2094,24000000
Sufix Array,3000000,2098,24000000
Sufix Array,3000000,2094,24000000
Sufix Array,3000000,2098,24000000
Sufix Array,3000000,2093,24000000
Sufix Array,3000000,2096,24000000
Sufix Array,3000000,2093,24000000
Sufix Array,3000000,2097,24000000
Sufix Array,3000000,2092,24000000
Sufix Array,3000000,2110,24000000
Sufix Array,3000000,2096,24000000
Sufix Array,3000000,2093,24000000
Sufix Array,3000000,2098,24000000
Sufix Array,3000000,2092,24000000
Sufix Array,3000000,2093,24000000
Sufix Array,3000000,2093,24000000
Sufix Array,3000000,2095,24000000
Sufix Array,3000000,2091,24000000
Sufix Array,3000000,2092,24000000
Sufix Array,3000000,2095,24000000
Sufix Array,3000000,2092,24000000
Sufix Array,3000000,2096,24000000
Sufix Array,3000000,2095,24000000
Sufix Array,3000000,2095,24000000
Sufix Array,3000000,2097,24000000
Sufix Array,3000000,2101,24000000
Sufix Array,3000000,2097,24000000
