Estructura,Tamaño,Milisegundos,Bytes
FMI,3000000,476,748221
FMI,3000000,477,748221
FMI,3000000,479,748221
FMI,3000000,477,748221
FMI,3000000,477,748221
FMI,3000000,478,748221
FMI,3000000,477,748221
FMI,3000000,476,748221
FMI,3000000,477,748221
FMI,3000000,475,748221
FMI,3000000,476,748221
FMI,3000000,479,748221
FMI,3000000,476,748221
FMI,3000000,481,748221
FMI,3000000,476,748221
FMI,3000000,476,748221
FMI,3000000,477,748221
FMI,3000000,476,748221
FMI,3000000,476,748221
FMI,3000000,475,748221
FMI,3000000,476,748221
FMI,3000000,477,748221
FMI,3000000,477,748221
FMI,3000000,477,748221
FMI,3000000,476,748221
FMI,3000000,476,748221
FMI,3000000,477,748221
FMI,3000000,477,748221
FMI,3000000,477,748221
FMI,3000000,477,748221
FMI,3000000,476,748221
FMI,3000000,478,748221
FMI,3000000,476,748221
FMI,3000000,477,748221
FMI,3000000,477,748221
FMI,3000000,476,748221
FMI,3000000,475,748221
FMI,3000000,477,748221
FMI,3000000,476,748221
FMI,3000000,477,748221
FMI,3000000,476,748221
FMI,3000000,476,748221
FMI,3000000,476,748221
FMI,3000000,476,748221
FMI,3000000,476,748221
FMI,3000000,476,748221
FMI,3000000,476,748221
FMI,3000000,475,748221
FMI,3000000,474,748221
FMI,3000000,475,748221
FMI,3000000,476,748221
FMI,3000000,476,748221
FMI,3000000,477,748221
FMI,3000000,479,748221
FMI,3000000,477,748221
FMI,3000000,476,748221
FMI,4000000,641,991237
FMI,4000000,636,991237
FMI,4000000,638,991237
FMI,4000000,637,991237
FMI,4000000,637,991237
FMI,4000000,639,991237
FMI,4000000,637,991237
FMI,4000000,638,991237
FMI,4000000,640,991237
FMI,4000000,638,991237
FMI,4000000,638,991237
FMI,4000000,636,991237
FMI,4000000,637,991237
FMI,4000000,636,991237
FMI,4000000,636,991237
FMI,4000000,637,991237
FMI,4000000,639,991237
FMI,4000000,640,991237
FMI,4000000,639,991237
FMI,4000000,639,991237
FMI,4000000,638,991237
FMI,4000000,637,991237
FMI,4000000,639,991237
FMI,4000000,641,991237
FMI,4000000,636,991237
FMI,4000000,636,991237
FMI,4000000,639,991237
FMI,4000000,635,991237
FMI,4000000,638,991237
FMI,4000000,636,991237
FMI,4000000,636,991237
FMI,4000000,637,991237
FMI,4000000,637,991237
FMI,4000000,637,991237
FMI,4000000,636,991237
FMI,4000000,636,991237
FMI,4000000,636,991237
FMI,4000000,637,991237
FMI,4000000,640,991237
FMI,4000000,638,991237
FMI,4000000,638,991237
FMI,4000000,638,991237
FMI,4000000,638,991237
FMI,4000000,638,991237
FMI,4000000,638,991237
FMI,4000000,637,991237
FMI,4000000,638,991237
FMI,4000000,638,991237
FMI,4000000,640,991237
FMI,4000000,637,991237
FMI,4000000,638,991237
FMI,4000000,636,991237
FMI,4000000,636,991237
FMI,4000000,639,991237
FMI,4000000,636,991237
FMI,4000000,637,991237
FMI,4000000,638,991237
FMI,4000000,638,991237
FMI,4000000,638,991237
FMI,4000000,636,991237
FMI,4000000,638,991237
FMI,4000000,637,991237
FMI,4000000,637,991237
FMI,4000000,637,991237
FMI,4000000,637,991237
FMI,4000000,636,991237
FMI,4000000,636,991237
FMI,4000000,635,991237
FMI,4000000,636,991237
FMI,4000000,637,991237
FMI,4000000,639,991237
FMI,4000000,637,991237
FMI,4000000,638,991237
FMI,4000000,637,991237
FMI,4000000,637,991237
FMI,4000000,637,991237
FMI,4000000,640,991237
FMI,4000000,639,991237
FMI,4000000,639,991237
FMI,4000000,636,991237
FMI,4000000,638,991237
FMI,4000000,656,991237
FMI,4000000,636,991237
FMI,4000000,637,991237
FMI,4000000,637,991237
FMI,4000000,640,991237
FMI,4000000,637,991237
FMI,4000000,637,991237
FMI,4000000,637,991237
FMI,4000000,639,991237
FMI,4000000,638,991237
FMI,4000000,639,991237
FMI,4000000,635,991237
FMI,4000000,639,991237
FMI,4000000,637,991237
FMI,4000000,637,991237
FMI,4000000,638,991237
FMI,4000000,636,991237
FMI,4000000,637,991237
FMI,4000000,638,991237
FMI,5000000,814,1239621
FMI,5000000,820,1239621
FMI,5000000,823,1239621
FMI,5000000,826,1239621
FMI,5000000,822,1239621
FMI,5000000,821,1239621
FMI,5000000,820,1239621
FMI,5000000,822,1239621
FMI,5000000,822,1239621
FMI,5000000,822,1239621
FMI,5000000,823,1239621
FMI,5000000,823,1239621
FMI,5000000,824,1239621
FMI,5000000,823,1239621
FMI,5000000,822,1239621
FMI,5000000,823,1239621
FMI,5000000,824,1239621
FMI,5000000,825,1239621
FMI,5000000,823,1239621
FMI,5000000,823,1239621
FMI,5000000,823,1239621
FMI,5000000,824,1239621
FMI,5000000,823,1239621
FMI,5000000,822,1239621
FMI,5000000,825,1239621
FMI,5000000,823,1239621
FMI,5000000,822,1239621
FMI,5000000,821,1239621
FMI,5000000,827,1239621
