Estructura,Tamaño,Segundos,Bytes
SA + LCP,2000000,1504,31999992
SA + LCP,2000000,1508,31999992
SA + LCP,2000000,1506,31999992
SA + LCP,2000000,1512,31999992
SA + LCP,2000000,1509,31999992
SA + LCP,2000000,1508,31999992
SA + LCP,2000000,1509,31999992
SA + LCP,2000000,1510,31999992
SA + LCP,2000000,1509,31999992
SA + LCP,2000000,1505,31999992
SA + LCP,2000000,1511,31999992
SA + LCP,2000000,1511,31999992
SA + LCP,2000000,1510,31999992
SA + LCP,2000000,1511,31999992
SA + LCP,2000000,1505,31999992
SA + LCP,2000000,1511,31999992
SA + LCP,2000000,1511,31999992
SA + LCP,2000000,1513,31999992
SA + LCP,2000000,1508,31999992
SA + LCP,2000000,1521,31999992
SA + LCP,2000000,1504,31999992
SA + LCP,2000000,1511,31999992
SA + LCP,2000000,1514,31999992
SA + LCP,2000000,1512,31999992
SA + LCP,3000000,2239,47999992
SA + LCP,3000000,2249,47999992
SA + LCP,3000000,2250,47999992
SA + LCP,3000000,2245,47999992
SA + LCP,3000000,2250,47999992
SA + LCP,3000000,2246,47999992
SA + LCP,3000000,2240,47999992
SA + LCP,3000000,2247,47999992
SA + LCP,3000000,2239,47999992
SA + LCP,3000000,2252,47999992
SA + LCP,3000000,2249,47999992
SA + LCP,3000000,2246,47999992
SA + LCP,3000000,2247,47999992
SA + LCP,3000000,2252,47999992
SA + LCP,3000000,2246,47999992
SA + LCP,3000000,2248,47999992
SA + LCP,3000000,2244,47999992
SA + LCP,3000000,2243,47999992
SA + LCP,3000000,2244,47999992
SA + LCP,3000000,2245,47999992
SA + LCP,3000000,2252,47999992
SA + LCP,3000000,2251,47999992
SA + LCP,3000000,2251,47999992
SA + LCP,3000000,2245,47999992
SA + LCP,3000000,2259,47999992
SA + LCP,3000000,2240,47999992
SA + LCP,3000000,2235,47999992
SA + LCP,3000000,2249,47999992
SA + LCP,3000000,2236,47999992
SA + LCP,3000000,2235,47999992
SA + LCP,3000000,2240,47999992
SA + LCP,3000000,2243,47999992
SA + LCP,3000000,2238,47999992
SA + LCP,3000000,2240,47999992
SA + LCP,3000000,2250,47999992
SA + LCP,3000000,2241,47999992
SA + LCP,3000000,2232,47999992
SA + LCP,3000000,2235,47999992
SA + LCP,3000000,2237,47999992
SA + LCP,3000000,2239,47999992
