Estructura,Largo Patron,Tiempo
SA+LCP,30,602
SA+LCP,30,583
SA+LCP,30,641
SA+LCP,30,608
SA+LCP,30,567
SA+LCP,30,578
SA+LCP,30,575
SA+LCP,30,569
SA+LCP,30,576
SA+LCP,30,581
SA+LCP,30,582
SA+LCP,40,3518
SA+LCP,40,756
SA+LCP,40,604
SA+LCP,40,583
SA+LCP,40,619
SA+LCP,40,590
SA+LCP,40,539
SA+LCP,40,546
SA+LCP,40,591
SA+LCP,40,577
SA+LCP,40,624
SA+LCP,40,584
SA+LCP,40,583
SA+LCP,40,570
SA+LCP,40,535
SA+LCP,40,552
SA+LCP,40,581
SA+LCP,40,551
SA+LCP,40,576
SA+LCP,40,572
SA+LCP,40,584
SA+LCP,40,584
SA+LCP,40,525
SA+LCP,40,569
SA+LCP,40,552
SA+LCP,40,554
SA+LCP,40,547
SA+LCP,40,582
SA+LCP,40,503
SA+LCP,40,542
SA+LCP,40,601
SA+LCP,40,618
SA+LCP,40,583
SA+LCP,40,567
SA+LCP,40,548
SA+LCP,40,562
SA+LCP,40,587
SA+LCP,40,587
SA+LCP,40,526
SA+LCP,40,531
SA+LCP,40,526
SA+LCP,40,578
SA+LCP,40,568
SA+LCP,40,577
SA+LCP,40,585
SA+LCP,40,600
SA+LCP,40,563
SA+LCP,40,562
SA+LCP,40,546
SA+LCP,40,631
SA+LCP,40,549
SA+LCP,40,592
SA+LCP,40,635
SA+LCP,40,551
SA+LCP,40,575
SA+LCP,40,541
SA+LCP,40,547
SA+LCP,40,569
SA+LCP,40,543
SA+LCP,40,574
SA+LCP,40,528
SA+LCP,40,547
SA+LCP,40,586
SA+LCP,40,579
SA+LCP,40,551
SA+LCP,40,545
SA+LCP,40,572
SA+LCP,40,551
SA+LCP,40,576
SA+LCP,40,531
SA+LCP,40,544
SA+LCP,40,587
SA+LCP,40,571
SA+LCP,40,547
SA+LCP,40,571
SA+LCP,40,559
SA+LCP,40,592
SA+LCP,40,600
SA+LCP,40,501
SA+LCP,40,554
SA+LCP,40,608
SA+LCP,40,546
SA+LCP,40,570
SA+LCP,40,567
SA+LCP,40,548
SA+LCP,40,632
SA+LCP,40,563
SA+LCP,40,610
SA+LCP,40,552
SA+LCP,40,572
SA+LCP,40,566
SA+LCP,40,579
SA+LCP,40,534
SA+LCP,40,589
SA+LCP,40,588
SA+LCP,40,598
SA+LCP,40,587
SA+LCP,40,559
SA+LCP,40,503
SA+LCP,40,528
SA+LCP,50,2156
SA+LCP,50,756
SA+LCP,50,683
SA+LCP,50,602
SA+LCP,50,627
SA+LCP,50,542
SA+LCP,50,563
SA+LCP,50,532
SA+LCP,50,564
SA+LCP,50,533
SA+LCP,50,569
SA+LCP,50,582
SA+LCP,50,577
SA+LCP,50,547
SA+LCP,50,586
SA+LCP,50,563
SA+LCP,50,592
SA+LCP,50,603
SA+LCP,50,597
SA+LCP,50,561
SA+LCP,50,598
SA+LCP,50,562
SA+LCP,50,595
SA+LCP,50,650
SA+LCP,50,562
SA+LCP,50,543
SA+LCP,50,586
SA+LCP,50,565
SA+LCP,50,588
SA+LCP,50,598
SA+LCP,50,594
SA+LCP,50,602
SA+LCP,50,597
SA+LCP,50,581
SA+LCP,50,609
SA+LCP,50,603
SA+LCP,50,595
SA+LCP,50,600
SA+LCP,50,599
SA+LCP,50,598
SA+LCP,50,595
SA+LCP,50,592
SA+LCP,50,590
SA+LCP,50,596
SA+LCP,50,600
SA+LCP,50,599
SA+LCP,50,603
SA+LCP,50,594
SA+LCP,50,605
SA+LCP,50,587
SA+LCP,50,562
SA+LCP,50,599
SA+LCP,50,600
SA+LCP,50,597
SA+LCP,50,603
SA+LCP,50,600
SA+LCP,50,602
SA+LCP,50,567
SA+LCP,50,603
SA+LCP,50,602
SA+LCP,50,602
SA+LCP,50,589
SA+LCP,50,598
SA+LCP,50,603
SA+LCP,50,597
SA+LCP,50,593
SA+LCP,50,603
SA+LCP,50,598
SA+LCP,50,612
SA+LCP,50,564
SA+LCP,50,622
SA+LCP,50,602
SA+LCP,50,564
SA+LCP,50,600
SA+LCP,50,607
SA+LCP,50,605
SA+LCP,50,604
SA+LCP,50,599
SA+LCP,50,599
SA+LCP,50,562
SA+LCP,50,646
SA+LCP,50,620
SA+LCP,50,586
SA+LCP,50,603
SA+LCP,50,593
SA+LCP,50,602
SA+LCP,50,600
SA+LCP,50,601
SA+LCP,50,599
SA+LCP,50,595
SA+LCP,50,601
SA+LCP,50,600
SA+LCP,50,591
SA+LCP,50,603
SA+LCP,50,609
SA+LCP,50,603
SA+LCP,50,567
SA+LCP,50,605
SA+LCP,50,604
SA+LCP,50,565
SA+LCP,60,2015
SA+LCP,60,718
SA+LCP,60,658
SA+LCP,60,644
SA+LCP,60,637
SA+LCP,60,587
SA+LCP,60,529
SA+LCP,60,550
SA+LCP,60,558
SA+LCP,60,614
SA+LCP,60,569
SA+LCP,60,578
SA+LCP,60,622
SA+LCP,60,566
SA+LCP,60,582
SA+LCP,60,648
SA+LCP,60,569
SA+LCP,60,577
SA+LCP,60,576
SA+LCP,60,558
SA+LCP,60,557
SA+LCP,60,574
SA+LCP,60,552
SA+LCP,60,549
SA+LCP,60,604
SA+LCP,60,570
SA+LCP,60,551
SA+LCP,60,594
SA+LCP,60,552
SA+LCP,60,596
SA+LCP,60,577
SA+LCP,60,611
SA+LCP,60,589
SA+LCP,60,544
SA+LCP,60,551
SA+LCP,60,594
SA+LCP,60,595
SA+LCP,60,545
SA+LCP,60,544
SA+LCP,60,620
SA+LCP,60,592
SA+LCP,60,624
SA+LCP,60,546
SA+LCP,60,571
SA+LCP,60,557
SA+LCP,60,548
SA+LCP,60,571
SA+LCP,60,591
SA+LCP,60,544
SA+LCP,60,554
SA+LCP,60,594
SA+LCP,60,549
SA+LCP,60,573
SA+LCP,60,591
SA+LCP,60,588
SA+LCP,60,612
SA+LCP,60,522
SA+LCP,60,543
SA+LCP,60,591
SA+LCP,60,568
SA+LCP,60,554
SA+LCP,60,556
SA+LCP,60,583
SA+LCP,60,550
SA+LCP,60,581
SA+LCP,60,574
SA+LCP,60,578
SA+LCP,60,551
SA+LCP,60,624
SA+LCP,60,593
SA+LCP,60,572
SA+LCP,60,567
SA+LCP,60,578
SA+LCP,60,559
SA+LCP,60,577
SA+LCP,60,555
SA+LCP,60,554
SA+LCP,60,589
SA+LCP,60,533
SA+LCP,60,547
SA+LCP,60,526
SA+LCP,60,560
SA+LCP,60,581
SA+LCP,60,595
SA+LCP,60,566
SA+LCP,60,596
SA+LCP,60,590
SA+LCP,60,603
SA+LCP,60,531
SA+LCP,60,554
SA+LCP,60,573
SA+LCP,60,591
SA+LCP,60,526
SA+LCP,60,548
SA+LCP,60,550
SA+LCP,60,581
SA+LCP,60,567
SA+LCP,60,599
SA+LCP,60,549
SA+LCP,60,550
SA+LCP,70,3156
SA+LCP,70,721
SA+LCP,70,641
SA+LCP,70,585
SA+LCP,70,612
SA+LCP,70,587
SA+LCP,70,586
SA+LCP,70,608
SA+LCP,70,572
SA+LCP,70,584
SA+LCP,70,586
SA+LCP,70,583
SA+LCP,70,558
SA+LCP,70,561
SA+LCP,70,580
SA+LCP,70,583
SA+LCP,70,557
